subject,object,relation,paper_id,sentence_no,num_evidence
a species,seeds,have,"[189603, 150672, 96280]","[9, 1, 9]",3
a species,abiotic factors,respond,"[191316, 130439]","[2, 11]",2
a species,evidence,show,"[88274, 30887, 179506]","[10, 5, 8]",3
a species,manipulation,respond,"[195957, 107491, 89885]","[6, 16, 4]",3
a species,a tree,dominate,"[198597, 212578, 174831]","[8, 2, 0]",3
a species,span,have,"[201099, 201099]","[4, 5]",2
a species,patterns,show,"[222755, 61286, 61990]","[5, 3, 7]",3
a species,eggs,lay,"[203269, 175595]","[3, 2]",2
a species,eggs,have,"[152684, 164043]","[12, 7]",2
a species,environment,respond,"[128850, 130753, 72055, 22277, 163537, 178797]","[0, 5, 1, 0, 1, 0]",6
a species,environment,relation,"[131099, 149278, 156508, 49502, 87462]","[7, 4, 3, 6, 5]",5
a species,environment,inhabit,"[131222, 147211, 35394]","[1, 0, 0]",3
a species,environment,tolerate,"[131789, 22386, 31924]","[0, 1, 1]",3
a species,environment,interact,"[58999, 61025]","[4, 4]",2
a species,extinction,risk,"[205284, 117175]","[0, 7]",2
a species,extinction,avoid,"[104056, 104056]","[3, 3]",2
a species,tolerance,have,"[205747, 131667]","[10, 0]",2
a species,basal rate,have,"[206811, 83575]","[4, 3]",2
a species,meadow,perform,"[206867, 206867]","[1, 1]",2
a species,thermal,tolerate,"[207483, 136143, 20729, 175251]","[0, 9, 4, 1]",4
a species,shade,tolerate,"[211529, 223642, 131518, 46943, 71654, 178157]","[2, 0, 2, 10, 5, 6]",6
a species,forest,dwelling,"[131445, 60803]","[0, 7]",2
a species,forest,dive,"[88533, 27451]","[6, 9]",2
a species,biologic diversity,threaten,"[217106, 123624]","[0, 0]",2
a species,rings,migrate,"[221439, 21880]","[9, 2]",2
a species,phenotypic plasticity,demonstrate,"[223642, 17523]","[0, 4]",2
a species,leaf,have,"[224299, 125414, 163522]","[3, 7, 5]",3
a species,ecosystem,function,"[153050, 15459]","[0, 3]",2
a species,this change,respond,"[100969, 151526, 16761, 18233]","[4, 4, 1, 1]",4
a species,an abundance,have,"[104056, 104056]","[3, 3]",2
a species,bio,indicate,"[105587, 153745, 7051]","[0, 4, 2]",3
a species,n2,fix,"[113425, 137075]","[5, 3]",2
a species,response,show,"[117682, 145041, 27684, 30851, 161496, 179678]","[6, 1, 2, 3, 0, 13]",6
a species,response,exhibit,"[56271, 56271]","[8, 8]",2
a species,heat,tolerate,"[78175, 30851, 33767]","[6, 3, 0]",3
a species,heat,sensitive,"[23472, 30851]","[7, 3]",2
a species,niche,realize,"[62039, 1735, 37144, 159934, 179265]","[3, 6, 5, 1, 4]",5
a species,population,perform,"[123938, 29600]","[6, 2]",2
a species,pollutant,respond,"[126890, 53590]","[3, 7]",2
a species,ecosystem structure,modify,"[127496, 34500]","[1, 1]",2
a species,fitness,maintain,"[132531, 28158]","[0, 0]",2
a species,distribution,have,"[152684, 62358, 33803]","[12, 3, 12]",3
a species,a trait,share,"[132657, 31102]","[7, 1]",2
a species,the fire regime,respond,"[141022, 141022]","[0, 2]",2
a species,marine,invade,"[146203, 151886]","[1, 0]",2
a species,tracheid diameter,have,"[152459, 177409]","[4, 4]",2
a species,wall,have,"[152459, 177409]","[4, 4]",2
a species,the world,invade,"[156031, 95953]","[1, 1]",2
a species,varying levels,have,"[43962, 84821]","[3, 3]",2
a species,human health,concern,"[55548, 99059]","[1, 9]",2
a species,niche breadth,have,"[32207, 32207, 174651]","[0, 0, 1]",3
a species,cool,love,"[57544, 24812]","[7, 7]",2
a species,complex life history,have,"[61217, 14586, 161659]","[8, 2, 8]",3
a species,congruent trend on site,show,"[92544, 177617]","[4, 4]",2
a species,a portion,occupy,"[96280, 96280]","[9, 9]",2
a species,chemicals,activity,"[6315, 11744]","[4, 1]",2
a species,shift,respond,"[31976, 172677]","[1, 1]",2
a species,leaf turgor,maintain,"[20888, 20888]","[5, 5]",2
a species,monitoring,indicate,"[22516, 179942]","[3, 6]",2
a species,climate niche,maintain,"[179540, 179540]","[4, 4]",2
a species,embolilism,resist,"[28416, 30758]","[7, 7]",2
a species,plasticity,have,"[29296, 164550]","[3, 2]",2
a species,oxygen conditions,respond,"[30851, 30851]","[3, 6]",2
a species,artificial lighting at night,respond,"[31668, 31668]","[2, 2]",2
a species,climate variables,respond,"[32676, 163537]","[1, 12]",2
a species,nuclear turnover,have,"[35407, 35407, 35407]","[1, 1, 3]",3
a species,thermal maximum,have,"[175843, 175843, 175843]","[8, 8, 10]",3
researchers,factors,evaluate,"[180005, 207856, 16681]","[2, 0, 2]",3
researchers,factors,determine,"[180038, 223748, 227415, 127243, 94808, 167604]","[2, 2, 2, 11, 1, 1]",6
researchers,factors,know,"[181389, 38603, 179849]","[1, 6, 6]",3
researchers,factors,explore,"[183954, 127243, 130051, 134493, 83127, 93336, 32268, 33071, 175634]","[1, 11, 2, 5, 3, 3, 2, 5, 3]",9
researchers,factors,identify,"[184772, 199967, 201337, 212074, 219505, 114007, 118771, 127614, 130141, 130971, 151355, 155847, 56425, 76179, 92148, 22735, 29951, 30973, 33350, 34677, 175312]","[3, 2, 3, 4, 3, 4, 5, 5, 1, 3, 6, 5, 1, 4, 1, 3, 0, 3, 10, 5, 3]",21
researchers,factors,review,"[186662, 113494, 149881]","[0, 1, 0]",3
researchers,factors,discuss,"[187792, 207758, 210741, 136205, 77143, 13102, 172028, 173372]","[4, 4, 8, 2, 12, 2, 2, 3]",8
researchers,factors,assess,"[190926, 207697, 159574, 177982]","[3, 0, 2, 0]",4
researchers,factors,investigate,"[195903, 200441, 226393, 228271, 117239, 124932, 12201]","[1, 3, 0, 0, 1, 8, 6]",7
researchers,factors,understand,"[200234, 225297, 150428, 47843, 56365, 61188, 62015, 72382, 89938, 96414, 16421, 22938, 30905, 35399, 166271, 179537, 179540]","[11, 1, 1, 0, 1, 7, 1, 0, 1, 1, 1, 10, 2, 1, 0, 1, 0]",17
researchers,factors,analyze,"[201337, 222728, 112547, 114375, 129737, 130446, 151748, 49206, 10334, 14255, 171307, 171719, 173588]","[3, 0, 0, 0, 2, 3, 0, 7, 3, 2, 6, 1, 0]",13
researchers,factors,use,"[219648, 142794, 46693]","[2, 1, 4]",3
researchers,factors,find,"[100721, 33636, 169417]","[0, 6, 2]",3
researchers,factors,apply,"[104636, 130180, 173183]","[1, 1, 2]",3
researchers,factors,examine,"[119307, 142335, 28213, 160364, 164788]","[0, 2, 2, 2, 0]",5
researchers,factors,define,"[40822, 94882]","[4, 6]",2
researchers,factors,control,"[42240, 178748]","[1, 1]",2
researchers,factors,compare,"[52384, 162273]","[2, 4]",2
researchers,factors,adjust,"[85667, 95395]","[1, 4]",2
researchers,factors,study,"[11541, 174744]","[2, 4]",2
researchers,factors,quantify,"[13694, 35044, 176389]","[2, 3, 11]",3
researchers,risiken,observe,"[180135, 151210, 50779, 53132, 54100, 85841, 178415]","[4, 3, 6, 11, 4, 1, 4]",7
researchers,risiken,estimate,"[181280, 197392, 127536, 131470, 131470, 131639, 132453, 134045, 136715, 143570, 61167, 77980, 85667, 85841, 85880, 87420, 91101, 27651, 33446, 33747, 178996]","[6, 1, 2, 1, 1, 2, 0, 2, 2, 1, 3, 6, 1, 1, 4, 2, 4, 2, 2, 2, 2]",21
researchers,risiken,underestimate,"[181371, 91101]","[7, 7]",2
researchers,risiken,evaluate,"[181434, 44815, 82181, 15931, 173557]","[3, 1, 1, 2, 2]",5
researchers,risiken,assess,"[186984, 186984, 186984, 220689, 226751, 226908, 105616, 107650, 115065, 121212, 125995, 141030, 155760, 58244, 61312, 61911, 76316, 78232, 11145, 16897, 31858, 172945, 177442, 178136]","[4, 5, 5, 7, 0, 2, 0, 2, 2, 6, 3, 0, 1, 0, 3, 2, 3, 2, 0, 9, 3, 2, 1, 2]",24
researchers,risiken,calculate,"[198498, 220080, 61911, 6781]","[5, 3, 3, 3]",4
researchers,risiken,understand,"[201914, 130184]","[9, 5]",2
researchers,risiken,analyze,"[206276, 16718]","[12, 0]",2
researchers,risiken,mitigate,"[216953, 8652]","[4, 4]",2
researchers,risiken,reduce,"[217557, 12545, 15166, 26576]","[5, 9, 2, 5]",4
researchers,risiken,predict,"[222068, 129512, 61075, 61595, 89381, 27341]","[5, 3, 1, 1, 5, 6]",6
researchers,risiken,examine,"[106185, 109851, 97949, 16897, 20833, 22433, 166088, 176629]","[1, 2, 3, 1, 3, 1, 1, 1]",8
researchers,risiken,investigate,"[114335, 133318, 179900]","[6, 2, 3]",3
researchers,risiken,compare,"[127536, 144062, 62108, 85049, 15956, 178017]","[3, 1, 0, 1, 4, 2]",6
researchers,risiken,find,"[150828, 16034, 34965, 175100]","[2, 7, 4, 1]",4
researchers,risiken,review,"[41414, 78030]","[1, 1]",2
researchers,risiken,model,"[81296, 26615]","[0, 6]",2
researchers,risiken,study,"[165646, 165719]","[3, 1]",2
researchers,risiken,consider,"[174662, 178916]","[3, 14]",2
researchers,response,investigate,"[180014, 181043, 181564, 183732, 199802, 201099, 210017, 210102, 211478, 212832, 216280, 217438, 105399, 109317, 109814, 114349, 115098, 119012, 120494, 124299, 131103, 133668, 137252, 137447, 138618, 140735, 147536, 152719, 153135, 155763, 156005, 158611, 41446, 42158, 42377, 44222, 44951, 55259, 75445, 78833, 83230, 85747, 86765, 87190, 88471, 89533, 92582, 877, 2891, 5201, 15236, 21966, 23452, 28516, 31565, 162677, 163075, 164043, 164333, 170012, 175487, 177001, 177119, 178474, 178788]","[2, 1, 1, 1, 1, 3, 1, 2, 0, 0, 3, 2, 3, 0, 1, 2, 2, 3, 2, 4, 3, 0, 0, 2, 0, 0, 0, 4, 3, 3, 2, 2, 2, 1, 0, 3, 2, 2, 5, 0, 0, 0, 1, 2, 1, 6, 2, 1, 2, 0, 2, 5, 2, 2, 2, 0, 1, 2, 0, 2, 0, 1, 3, 5, 2]",65
researchers,response,quantify,"[180250, 106406, 155812, 52632, 54282, 60953, 75157, 86629, 15133, 21757, 28871, 33853, 33960, 34330]","[0, 1, 4, 1, 1, 2, 1, 6, 2, 1, 2, 3, 2, 2]",14
researchers,response,explore,"[180276, 189261, 204871, 107553, 131596, 131653, 134069, 145341, 72177, 16215, 22386, 30512, 34476, 35267, 166331]","[2, 2, 6, 3, 2, 6, 3, 2, 3, 2, 4, 2, 3, 4, 1]",15
researchers,response,argue,"[180700, 49573]","[2, 1]",2
researchers,response,study,"[180782, 181354, 192606, 208278, 211472, 224196, 105442, 112543, 113674, 118328, 131054, 136657, 136847, 148642, 157030, 48308, 60429, 85044, 90214, 90657, 97687, 29188, 32757, 33025, 164393]","[0, 1, 12, 3, 2, 1, 1, 5, 3, 0, 2, 1, 0, 1, 0, 0, 3, 0, 0, 1, 4, 5, 1, 3, 1]",25
researchers,response,understand,"[181406, 210486, 221146, 145558, 154565, 155030, 158861, 61228, 61421, 72617, 79148, 81585, 1354, 16793, 16907, 21296, 21429, 23743, 23855, 27591, 32053, 32367, 33867, 35044, 35793, 162665, 166135, 172930, 178942]","[1, 3, 9, 2, 0, 0, 0, 5, 10, 0, 1, 5, 1, 1, 5, 8, 1, 1, 0, 3, 2, 3, 2, 2, 11, 9, 1, 6, 8]",29
researchers,response,examine,"[181410, 187448, 189697, 197611, 200365, 201795, 203889, 208382, 211799, 214126, 215004, 215376, 219041, 220162, 226381, 103933, 121545, 125045, 128386, 130534, 138017, 141179, 143789, 152175, 47241, 48805, 51002, 53266, 53672, 56206, 72025, 72058, 73069, 75155, 77601, 82320, 82648, 85511, 88106, 88533, 93249, 94602, 1699, 1699, 1699, 17321, 23491, 28229, 29691, 32725, 34427, 35289, 159792, 161821, 163640, 164515, 166312, 174820, 176398, 176452]","[2, 2, 2, 1, 0, 0, 7, 3, 1, 0, 4, 1, 0, 5, 2, 0, 0, 1, 3, 3, 2, 0, 0, 3, 0, 0, 9, 0, 1, 2, 3, 3, 1, 4, 0, 0, 0, 0, 2, 1, 2, 3, 2, 2, 2, 2, 2, 3, 2, 4, 2, 2, 2, 2, 1, 2, 0, 1, 1, 0]",60
researchers,response,evaluate,"[181630, 181667, 191263, 210631, 132633, 143165, 146686, 59170, 61427, 75096, 13897, 23803, 32183, 34792, 35891, 39100, 160784, 178474]","[1, 0, 3, 4, 2, 4, 3, 13, 1, 3, 1, 2, 3, 2, 0, 0, 2, 2]",18
researchers,response,simulate,"[181713, 191676, 195861, 224105, 117514, 154108, 45845, 80422]","[0, 5, 0, 1, 3, 1, 4, 0]",8
researchers,response,assess,"[182523, 189688, 197449, 199656, 203308, 215640, 131019, 157923, 75193, 79801, 82714, 13659, 13775, 21134, 23733, 28857, 28998, 31790, 34525, 160618, 165793, 170634, 175113, 175366, 175999]","[0, 3, 1, 1, 2, 6, 1, 0, 2, 0, 0, 4, 4, 3, 0, 4, 2, 1, 7, 3, 2, 2, 2, 4, 4]",25
researchers,response,observe,"[182954, 103251, 115211, 29777, 34826]","[5, 5, 5, 2, 7]",5
researchers,response,detect,"[183754, 196355, 215803, 12548]","[3, 2, 1, 15]",4
researchers,response,compare,"[185808, 191071, 192606, 209397, 227766, 124070, 124521, 52481, 57732, 94156, 15837, 15994, 17754, 28608, 30896, 33017, 160067, 162525, 177312]","[3, 0, 12, 1, 1, 2, 4, 3, 1, 3, 4, 1, 1, 2, 3, 6, 0, 2, 4]",19
researchers,response,consider,"[187016, 202264, 76228]","[1, 3, 1]",3
researchers,response,review,"[189336, 59748, 94511]","[1, 0, 4]",3
researchers,response,predict,"[191010, 196355, 206606, 120391, 131975, 132711, 151897, 158188, 43481, 81969, 95874, 13897, 22198, 23855, 34007, 164473, 174898]","[6, 2, 10, 0, 1, 4, 0, 12, 3, 1, 2, 4, 8, 0, 3, 0, 1]",17
researchers,response,analyze,"[192409, 196417, 196935, 206246, 211204, 105895, 113615, 129894, 130951, 139313, 45629, 55068, 73105, 79159, 96557, 96952, 1987, 10569, 14795, 21728, 23252, 25182, 25185, 32541, 34166, 36885, 160771, 165374, 165656, 170157, 176456, 178294]","[1, 6, 1, 7, 2, 2, 5, 0, 3, 3, 2, 3, 4, 4, 2, 3, 2, 6, 1, 2, 2, 0, 1, 3, 2, 0, 1, 2, 7, 1, 1, 1]",32
researchers,response,report,"[193779, 210260, 76348, 18034, 33528]","[2, 3, 2, 3, 1]",5
researchers,response,demonstrate,"[196205, 17970, 35069]","[1, 2, 3]",3
researchers,response,model,"[202835, 206412, 156744, 157730, 60556, 20888, 22235]","[1, 0, 0, 9, 1, 3, 5]",7
researchers,response,hypothesize,"[214731, 20929, 34277]","[10, 7, 3]",3
researchers,response,test,"[219255, 142295, 144213, 40973, 34276, 40138, 174391, 177133, 177248]","[2, 2, 0, 1, 2, 3, 2, 3, 2]",9
researchers,response,function,"[219734, 172551]","[1, 2]",2
researchers,response,use,"[221055, 61738, 16024]","[1, 2, 3]",3
researchers,response,find,"[105877, 43016, 72125, 23415, 23812, 30513, 34826, 175663, 178289, 179498]","[2, 6, 5, 5, 5, 3, 7, 3, 4, 5]",10
researchers,response,measure,"[106245, 131705, 132305, 132477, 132858, 137359, 1318, 15309, 29053, 29582, 31258, 38240, 38940, 162055]","[2, 2, 6, 1, 4, 0, 1, 1, 2, 2, 2, 3, 4, 4]",14
researchers,response,address,"[113104, 139763, 60825, 176756]","[2, 3, 5, 2]",4
researchers,response,characterize,"[113666, 131270, 131789, 155812, 42533, 72358]","[1, 1, 2, 4, 6, 2]",6
researchers,response,discuss,"[116870, 154221, 45692, 61217, 85627, 86909]","[3, 1, 0, 2, 0, 0]",6
researchers,response,show,"[121573, 62019, 15114, 21728, 32262, 177445]","[1, 8, 3, 6, 2, 1]",6
researchers,response,monitor,"[130062, 94039, 176933]","[2, 2, 4]",3
researchers,response,describe,"[136284, 99031, 99282]","[7, 2, 0]",3
researchers,response,determine,"[145578, 50659, 58269, 72610, 77002, 80286, 88533, 30470, 35075, 37663, 165983, 175637]","[4, 2, 3, 0, 0, 2, 3, 1, 2, 1, 1, 2]",12
researchers,response,reconstruct,"[153922, 153922, 97049]","[2, 4, 1]",3
researchers,response,calculate,"[154686, 44063, 49725, 96010, 10052, 21889]","[0, 1, 0, 1, 1, 4]",6
researchers,response,elucidate,"[157977, 31464]","[1, 4]",2
researchers,response,suggest,"[41275, 92685, 35395]","[6, 9, 7]",3
researchers,response,estimate,"[58306, 29622, 29854, 161701, 165658]","[8, 1, 5, 3, 1]",5
researchers,response,focus,"[61665, 83230, 162677, 178683]","[1, 3, 3, 2]",4
researchers,response,project,"[75150, 15837, 34166]","[3, 4, 2]",3
researchers,response,contrast,"[88471, 163075]","[1, 1]",2
researchers,effects,understand,"[180484, 123711, 9352, 14714]","[1, 12, 0, 2]",4
researchers,effects,evaluate,"[225042, 14714]","[9, 2]",2
researchers,effects,find,"[123712, 48297]","[7, 9]",2
researchers,effects,investigate,"[134470, 40172]","[0, 0]",2
researchers,effects,study,"[143574, 96749]","[4, 1]",2
researchers,effects,quantify,"[84653, 35277]","[1, 3]",2
researchers,effects,examine,"[86566, 28212, 164666, 170663, 178465]","[3, 0, 1, 4, 3]",5
researchers,impact,determine,"[180023, 182310, 191090, 104078, 116093, 124094, 134275, 149154, 55074, 75135, 83670, 97894, 10425, 16195, 17969, 31668, 177222]","[1, 5, 1, 0, 3, 4, 4, 2, 3, 2, 0, 0, 9, 3, 2, 3, 1]",17
researchers,impact,demonstrate,"[180046, 132418]","[2, 7]",2
researchers,impact,investigate,"[180089, 181108, 181300, 182576, 185058, 189115, 189996, 202366, 203712, 210353, 211559, 216288, 216352, 216683, 217555, 218842, 105285, 107619, 112664, 115605, 122951, 123716, 131323, 131527, 141073, 144072, 145002, 153085, 155511, 158722, 158732, 44311, 44647, 59229, 61799, 77603, 81276, 83974, 87757, 1574, 2881, 3367, 6981, 10767, 13628, 22320, 22737, 22938, 23607, 26625, 27236, 28378, 29261, 29351, 29741, 31426, 32210, 33391, 34012, 34046, 35269, 37797, 40058, 161403, 163818, 164365, 164520, 175920, 176065, 176745, 178699]","[2, 1, 0, 0, 2, 8, 1, 1, 4, 0, 2, 0, 3, 1, 0, 0, 1, 1, 3, 1, 1, 0, 5, 3, 0, 2, 0, 0, 0, 1, 0, 0, 2, 2, 2, 5, 8, 5, 3, 1, 3, 3, 0, 1, 11, 3, 2, 1, 3, 3, 4, 2, 0, 6, 3, 3, 3, 4, 4, 2, 2, 5, 1, 1, 1, 1, 2, 3, 0, 0, 2]",71
researchers,impact,assess,"[180184, 180606, 181631, 187680, 188187, 192062, 192142, 196961, 199489, 202061, 203241, 206123, 208123, 210221, 217320, 219387, 219734, 221922, 222091, 222285, 223401, 224543, 102704, 104185, 108015, 113179, 115569, 119021, 129978, 130339, 130376, 136268, 139208, 143595, 147397, 148178, 149216, 152545, 152939, 153104, 153143, 154224, 154224, 155467, 156988, 157298, 40683, 44086, 47062, 48773, 49908, 51418, 52578, 57505, 61240, 61862, 78320, 79723, 79726, 81809, 82200, 84055, 85813, 86947, 90372, 91330, 91735, 94322, 97870, 2044, 5193, 7952, 10123, 13714, 15424, 17219, 17912, 18044, 20973, 21893, 27269, 28634, 28996, 29256, 29755, 30864, 31304, 32016, 34008, 34043, 35043, 36252, 38143, 161198, 161632, 161736, 161915, 163566, 163631, 164319, 165707, 175125, 175719, 177189, 177554, 178990, 179067, 179739, 179973]","[6, 0, 2, 1, 1, 2, 3, 3, 3, 2, 10, 3, 0, 5, 1, 3, 1, 2, 1, 3, 2, 2, 0, 6, 2, 1, 4, 3, 2, 2, 0, 4, 1, 0, 4, 1, 0, 4, 0, 0, 0, 7, 8, 6, 2, 1, 3, 1, 1, 0, 5, 1, 2, 6, 0, 2, 1, 2, 0, 2, 4, 0, 8, 1, 1, 1, 0, 2, 0, 5, 5, 3, 2, 1, 1, 2, 0, 2, 5, 5, 3, 1, 3, 4, 0, 3, 4, 1, 0, 1, 2, 3, 6, 7, 3, 9, 1, 5, 1, 1, 2, 6, 3, 2, 0, 1, 4, 2, 4]",109
researchers,impact,measure,"[180191, 54722, 86916, 17037, 30599]","[3, 2, 1, 1, 2]",5
researchers,impact,study,"[180200, 191438, 192971, 194443, 195536, 201883, 213589, 214127, 221199, 102728, 104992, 105812, 124047, 134358, 137224, 142333, 41872, 41974, 48211, 49391, 56140, 59607, 82795, 82839, 86011, 834, 1412, 2536, 3064, 7420, 7801, 9157, 10084, 12353, 12516, 12888, 13593, 13721, 30484, 35061, 165357, 167485, 173291, 173462]","[2, 3, 4, 0, 4, 1, 3, 0, 1, 0, 0, 0, 1, 6, 6, 0, 0, 1, 1, 3, 1, 5, 0, 0, 2, 0, 2, 3, 0, 1, 2, 5, 4, 1, 2, 4, 1, 3, 3, 3, 0, 1, 2, 1]",44
researchers,impact,predict,"[180300, 220628, 113131, 114593, 121513, 123418, 154224, 55548, 58094, 99026, 22938, 22955, 176119, 179071]","[5, 1, 1, 2, 1, 3, 6, 4, 6, 1, 1, 3, 6, 2]",14
researchers,impact,explore,"[180532, 183445, 188856, 195536, 197145, 199909, 209173, 215968, 117316, 119614, 123249, 131066, 141952, 144545, 150083, 152408, 41522, 50050, 83668, 86977, 1782, 2135, 2881, 12825, 21275, 22225, 28449, 31293, 31384, 37401, 160581, 164215, 179909]","[2, 3, 3, 5, 2, 5, 2, 3, 1, 10, 0, 0, 3, 0, 0, 7, 2, 2, 5, 4, 1, 3, 6, 3, 4, 5, 1, 1, 3, 2, 4, 0, 0]",33
researchers,impact,isolate,"[180563, 197782, 22805]","[4, 1, 2]",3
researchers,impact,describe,"[180732, 200061, 102684, 113131, 128102, 146547, 150325]","[2, 13, 1, 2, 2, 11, 3]",7
researchers,impact,understand,"[181115, 185065, 200975, 202678, 208018, 104302, 117190, 131442, 149772, 151560, 154543, 155557, 51282, 51653, 56310, 60976, 75145, 77893, 88653, 96759, 4599, 7801, 22700, 27325, 28781, 33524, 34450, 38487, 161429, 164494, 164645, 173291, 173319, 176287, 176801, 176878, 178769, 179144]","[4, 3, 1, 4, 0, 7, 0, 9, 5, 1, 1, 0, 5, 4, 0, 1, 0, 5, 10, 0, 4, 2, 6, 1, 0, 3, 1, 8, 8, 16, 11, 2, 0, 6, 1, 0, 10, 7]",38
researchers,impact,quantify,"[181515, 186411, 192116, 215924, 216089, 222687, 226811, 113131, 115960, 120625, 120995, 122951, 128037, 145382, 49562, 71926, 75135, 82588, 88254, 2027, 8690, 35349, 37780, 162741]","[3, 2, 0, 1, 2, 1, 3, 2, 0, 6, 2, 1, 2, 1, 1, 2, 3, 1, 5, 4, 1, 2, 2, 2]",24
